ID,UpperMode,LowerMode,MatchRate
2984.0,TG,TS,0.990990990990991
2986.0,GSD,TS,0.0
3026.0,TS,GSD,0.6451612903225806
3053.0,TS,TG,0.9523809523809523
3055.0,GSD,GG,0.0
3056.0,GSD,GG,0.0
3057.0,GSD,GG,0.24390243902439027
3058.0,TS,GG,0.9836065573770493
3059.0,TG,GG,0.9836065573770493
3060.0,TG,GG,0.7843137254901962
3079.0,GSD,GG,0.0
3080.0,GSD,GG,0.2469135802469136
3096.0,GG,TS,0.10989010989010989
3097.0,TG,TS,0.0
3108.0,GSD,TS,0.6557377049180328
3109.0,GSD,TS,0.9090909090909091
3110.0,GSD,TS,0.0
3112.0,GSD,TS,0.0
3113.0,GSD,TS,0.14084507042253522
3114.0,GSD,TS,0.7407407407407408
3116.0,GSD,TS,0.0
3118.0,TS,TG,0.10989010989010989
3119.0,TS,TG,0.9502262443438914
3125.0,GSD,TS,0.1639344262295082
3126.0,GSD,TS,0.9090909090909091
3157.0,GSD,GG,0.7843137254901962
3158.0,GSD,GG,0.49180327868852464
3171.0,GSD,TG,0.0
3182.0,GSD,TS,0.990990990990991
3183.0,TG,TS,0.7843137254901962
3185.0,GSD,TS,0.6451612903225806
3186.0,GSD,TS,0.594059405940594
3187.0,GSD,TS,0.0
3189.0,TS,TG,0.0
3191.0,TS,TG,0.9876543209876544
3214.0,TS,GSD,0.0
3226.0,TS,GSD,0.0
3230.0,GG,TS,0.9876543209876544
3231.0,GG,TS,0.6593406593406593
3232.0,GG,TS,0.1801801801801802
3233.0,TG,TS,0.8791208791208791
3235.0,TG,TS,0.9756097560975611
3240.0,GSD,TS,0.9523809523809523
3247.0,GSD,GG,0.1234567901234568
